<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;60;20201225;230000;270.4500000
SBER;60;20201226;000000;270.6400000
SBER;60;20201228;110000;271.2900000
SBER;60;20201228;120000;272.0100000
SBER;60;20201228;130000;272.0500000
SBER;60;20201228;140000;270.0000000
SBER;60;20201228;150000;270.5500000
SBER;60;20201228;160000;271.0600000
SBER;60;20201228;170000;271.4600000
SBER;60;20201228;180000;273.3200000
SBER;60;20201228;190000;274.3000000
SBER;60;20201228;200000;274.9500000
SBER;60;20201228;210000;274.6400000
SBER;60;20201228;220000;274.7000000
SBER;60;20201228;230000;274.6000000
SBER;60;20201229;000000;274.7000000
SBER;60;20201229;110000;275.7200000
SBER;60;20201229;120000;273.2000000
SBER;60;20201229;130000;273.4200000
SBER;60;20201229;140000;274.1100000
SBER;60;20201229;150000;274.1500000
SBER;60;20201229;160000;273.8700000
SBER;60;20201229;170000;274.0000000
SBER;60;20201229;180000;272.9000000
SBER;60;20201229;190000;272.7400000
SBER;60;20201229;200000;272.0600000
SBER;60;20201229;210000;271.7800000
SBER;60;20201229;220000;272.1700000
SBER;60;20201229;230000;271.9300000
SBER;60;20201230;000000;272.0000000
SBER;60;20201230;110000;272.6000000
SBER;60;20201230;120000;272.9800000
SBER;60;20201230;130000;272.0100000
SBER;60;20201230;140000;272.0800000
SBER;60;20201230;150000;272.2200000
SBER;60;20201230;160000;271.1700000
SBER;60;20201230;170000;270.9800000
SBER;60;20201230;180000;271.7000000
SBER;60;20201230;190000;271.1000000
SBER;60;20201230;200000;271.1900000
SBER;60;20201230;210000;271.4300000
SBER;60;20201230;220000;271.2100000
SBER;60;20201230;230000;271.3000000
SBER;60;20201231;000000;271.6500000
SBER;60;20210104;110000;273.9400000
SBER;60;20210104;120000;273.9500000
SBER;60;20210104;130000;276.0000000
SBER;60;20210104;140000;275.3000000
SBER;60;20210104;150000;275.6800000
SBER;60;20210104;160000;275.0600000
SBER;60;20210104;170000;276.2000000
SBER;60;20210104;180000;276.2800000
SBER;60;20210104;190000;276.0000000
SBER;60;20210104;200000;273.8000000
SBER;60;20210104;210000;271.5500000
SBER;60;20210104;220000;272.6000000
SBER;60;20210104;230000;272.2000000
SBER;60;20210105;000000;272.0000000
SBER;60;20210105;110000;270.6500000
SBER;60;20210105;120000;272.3800000
SBER;60;20210105;130000;272.6800000
SBER;60;20210105;140000;273.2700000
SBER;60;20210105;150000;272.7100000
SBER;60;20210105;160000;273.2300000
SBER;60;20210105;170000;271.8900000
SBER;60;20210105;180000;275.4000000
SBER;60;20210105;190000;273.8200000
SBER;60;20210105;200000;274.2500000
SBER;60;20210105;210000;274.5900000
SBER;60;20210105;220000;274.9800000
SBER;60;20210105;230000;275.2700000
SBER;60;20210106;000000;275.2000000
SBER;60;20210106;110000;274.1200000
SBER;60;20210106;120000;273.1900000
SBER;60;20210106;130000;274.0100000
SBER;60;20210106;140000;273.5800000
SBER;60;20210106;150000;273.4400000
SBER;60;20210106;160000;272.4700000
SBER;60;20210106;170000;271.8900000
SBER;60;20210106;180000;273.0400000
SBER;60;20210106;190000;274.6800000
SBER;60;20210106;200000;274.1400000
SBER;60;20210106;210000;274.0300000
SBER;60;20210106;220000;274.2200000
SBER;60;20210106;230000;272.9300000
SBER;60;20210107;000000;272.9300000
SBER;60;20210108;110000;276.7800000
SBER;60;20210108;120000;280.2400000
SBER;60;20210108;130000;280.4900000
SBER;60;20210108;140000;281.8400000
SBER;60;20210108;150000;282.5400000
SBER;60;20210108;160000;282.3000000
SBER;60;20210108;170000;282.7400000
SBER;60;20210108;180000;283.6400000
SBER;60;20210108;190000;282.0800000
SBER;60;20210108;200000;282.3900000
SBER;60;20210108;210000;282.4100000
SBER;60;20210108;220000;281.9000000
SBER;60;20210108;230000;283.3800000
SBER;60;20210109;000000;283.6400000
SBER;60;20210111;110000;282.8000000
SBER;60;20210111;120000;290.1100000
SBER;60;20210111;130000;288.1300000
SBER;60;20210111;140000;289.1100000
SBER;60;20210111;150000;289.7700000
SBER;60;20210111;160000;292.1000000
